Author,Comment,Published At
@RASMIKUN,Pemerintah dah mandul... Gak punya harga diri.... Kita masuk negara org  secara ilegal aja di usir... Lha ini di kasih makan.... Alasannya ham dan rasa kasihan.... Ya jelas.... Yg lainnya pada ikut datang lebih banyak lagi..... 😮,2024-02-08T00:59:28Z
@rarachan5357,Aneh etnis rohingiya pny negara &amp; dibangun rmh tp malah cari suaka &amp; cari mslh  dinegeri orng hingga buat negeri orng tak nyaman.usir secptnya,2024-02-07T15:04:27Z
@tukangmacol,Kembalikan imigeren gelap rohingya ato usir paksa dari indonesia,2024-02-07T11:13:11Z
@ViVo-zd8dx,Warga atau para preman harus lebih licik lagi untuk mengganggu mereka atau menyerang Secara misterius tahu tahu banyak bangkai mereka.... pasti yang di Bangladesh sana takut datang ke Indonesia....maka selamatlah bertrilyun trilyun duit rakyat Indonesia yang disalurkan untuk biayai penghidupan mereka,2024-02-07T04:04:23Z
@evaindriati2500,Kapan yg sdh ada di Aceh diusir ...  seret mereka sampai ke samudra hindia ...,2024-02-07T03:04:43Z
@AdemAyem-qj4rt,Rohingya IMIGRAN GELAP ILLEGAL,2024-02-06T23:40:58Z
@kesayangan2704,Rakyat geram tapi pemerintah santai saja,2024-02-04T12:26:18Z
@abrormunawir-rs8tk,🥵🥵🥵🥵🥵UUUSSIIIIIRRRR.. TAK PERLU KITA PEDULI MEREKA.. MEREKA BUKAN URUSAN NEGERI INI...,2024-02-03T16:31:26Z
@lulukyuli8275,ROHINGYA SANGAT MENJIJIKKAN!!!!,2024-02-03T01:39:23Z
@mariono-6329,keluarkan secara paksa dari bumi aceh,2024-01-30T23:42:15Z
@JauharMustofa-vc1im,Terus suarakan tolak imigran  Rohingya kembalikan secepatnya.,2024-01-30T17:46:31Z
@choiriyah5553,"Klo gk licik mana bsa ngibulin dn bsa nongkrong di wilayah NKRI,,,bodoh nya yg ketipu modus muka2 melas mereka",2024-01-28T01:30:28Z
@mbokegendhok817,Manusia laknat semoga yg masih mencoba masuk KEINDONESIA  dilenyapkan ALLOH DI TENGAH LAUTROHINGYA TDK PATUT UNTUK DIKASIHANI PENJAJAH  USIR,2024-01-27T14:27:17Z
@dadadeathstar6889,"ditolak tapi dibiarin mndarat,,pecuma dong",2024-01-26T05:19:06Z
@bedjobedji2394,Usir Rohingya dengan cara apapun jangan dibiarkan tinggal di Indonesia hingga puluhan tahun dan jangan terlalu berharap pemerintah yang sudah gak punya nyali untuk menekan UNHCR.....,2024-01-25T09:17:21Z
@sardiani8026,Ya allaah.janganlah kami di jajah lagi.aamiin😢😢,2024-01-24T09:27:48Z
@TERUNASULTAN25,USIIIIIR SEMUA ROHINGYA DARI ACEEEH,2024-01-23T19:17:28Z
@parjoparjo-cb8gi,gak usah di buka paket dari UNHCR langsung balikin aja kalau di buka suruh belii wk wk,2024-01-23T16:53:40Z
@Buahbibirfyp,Mereka mencari tempat berlindung. Saya mau membantu tapi saya juga dalam masalah ekonomi. Maafkan saya saudara ku,2024-01-23T01:50:56Z
@suhitasuhita6241,Tentara lautnya mana?,2024-01-22T17:33:53Z
@KoesplusBunga-pk8be,"JAMAN BU SUSI UDA DTENGELAMKAN.JIJIK LIHAT PENJJAH JG PENGKIANAT NEGARA,BRAVO TNI POLRI<br>UNTUK MEMBERIKAN UNTUK DI PULANGKAN KEASALNYA",2024-01-22T11:54:13Z
@faqihudin610,Tarik saja ke laut. Serahkan ke Inggris,2024-01-22T08:19:08Z
@ridwanbudisantoso363,Tenggelamkan Kpalnya Biar lainya pada Kapok Nggak Ke indonesia lagi,2024-01-22T01:05:24Z
@muntamah2388,Licik dan culasnya rohingya,2024-01-21T17:46:00Z
@allcruiser,Tolak rohingnya dari bumi indonesia....cuma nyusahin doank...!!!,2024-01-21T15:02:41Z
@sunflower3761,Tenggelamkan kapal sampah Rohingya..,2024-01-21T12:49:02Z
@Chaken88Chaken88,Usir aja pemerintah yg tegas🎉,2024-01-21T12:11:08Z
@munanggarwidakdo9106,Usir ronghya orang 2 nanti juga punya anak cucu mau tmpat tinggal d man klo d ksih rsnghya,2024-01-21T05:19:59Z
@Mawarmerahasli63,"Usir Paksa Etnis Rohingnya dari Aceh,💪💪💪💪💪💪💪💪💪💪",2024-01-20T04:10:40Z
@AlwiMunadi,usir mereka suatu saat membahayakan NKRI,2024-01-19T01:46:21Z
@sarpanjono6627,USIR<br>USIR <br>USIR <br>TIDAK ADA NEGOSIASI LAGI KEPADA PARA PENGUNGSI <br>USIR <br>USIR <br>USIR,2024-01-18T15:06:40Z
@lasimankalidahu8208,"Usir ,tolak atau bantai sebelum terlambat 💪👍👍",2024-01-18T03:58:52Z
@andriyansahnyenyen7539,"Cara masuknya para imigran ilegal saja sudah licik, gimana kalau para imigran ilegal ini menetap ditempat kita. ...😞",2024-01-17T11:21:31Z
@nandahandayani5216,Usir ..usirr ..usirrr aja mereka...rakyat aceh..warga Indonesia harus lebih kuat..tegas.....usirrr rohingya ...🎉🎉🎉,2024-01-17T01:43:43Z
@Nurdiana-ts6mu,Tenggelamkan saja,2024-01-16T13:33:37Z
@tomymitsuki,indonesia harsu bersikap spt myanmar biar mreka kapok,2024-01-16T05:15:55Z
@NuraZizah-bt3mw,USIR ROHINGIYA,2024-01-15T17:02:59Z
@AmilkaharKahar-jg1py,Katanya Indonesia ketat jaga perairan terus ini knpa ini setan alas ini bisa lolos masuk,2024-01-15T14:16:21Z
@AfsyaAudaya,Tenggelamkan saja... Bakar kapalnya...,2024-01-15T13:56:01Z
@ronaaidan4961,"Tolak rohingya,,,tolak UNHCR dan tolak HAM,, KARNA KELAK AKAN JADI BUMERANG BUAT KITA SENDIRI..",2024-01-14T20:50:07Z
@MuhaYati-g5x,Tu mau darat saja licik apalgi kalau sdh jd warga negara indonesia mungkin lbh licik,2024-01-14T14:07:39Z
@sriani6622,Muak kami tengok rohingya tetap nekat bahkan nanti panggil panggil kawan kawan dia semua utk datang ...halau saja jgn kasih muka,2024-01-14T08:00:20Z
@reshajuwita450,Kemana mana gak ada yang mau nampung karena orang licik tak berguna hardolin,2024-01-14T04:39:36Z
@hendraependi5836,Usir saja,2024-01-13T23:26:59Z
@Afrizal-w6e,Kasi BBM kapal mereka usir paksa,2024-01-13T14:12:08Z
@hannaoktaviani2685,😮😮,2024-01-13T10:51:10Z
@zacotato7324,Kalau bikin rusuh bakar saja saudaraku 😡,2024-01-13T09:11:12Z
@umumufidatin2550,Dorong aja kelaut dan tenggelamkan aja,2024-01-13T07:32:33Z
@afriansyahagem8924,Tenggelamkan qj,2024-01-12T15:21:30Z
@inezamelia8524,Usir dari Indonesia tutup UNCHR dari Indonesia pengusi rohnigyh gak bisa di atur makn nych rakus gak tau dari tamak amit 2 licik rakus,2024-01-12T10:22:16Z
@endangsiswo5054,Ratu laut Nyi roro kidul lagi bobo.. Hingga migran gelap banyak yg mendarat di bumi Indonesia...,2024-01-12T09:11:55Z
@nurhasah2867,ini gak Betol  rohiniah harus di portasi kerahkan TNI Polri   indonesi tegas jangan loyo Indo kuasa user,2024-01-12T09:02:41Z
@benangrunner7630,Di bom senang nti mereka takut nak dtg lagi,2024-01-12T08:39:34Z
@RikiAja-um6ih,itu hati hati mereka memang disetel untuk pengalihan penyelundupan pemasokan senjata api keaceh,2024-01-12T02:28:13Z
@useraccount2201,Jgn sebut pengungsi. Mereka adalah IMIGRAN GELAP,2024-01-12T02:10:44Z
@Ashaffana,WAJIB DIUSIR KARENA ORANG ASING MASUK WILAYAH NEGARA TANPA IZIN.. TOLAK ROHINGYA,2024-01-12T00:10:10Z
@erahmawatiburcahyani6377,"Bersatu Kita runtuh bercerai Kita runtuh senjata untuk mengusir Dan menyelamatkan bangsa ini Dari penjajah PBB melalui UNHCR,,,Di dalangi semua Kasus ini ,, imigran gelap rohingya Bangladesh Dan Israel Zionist ini Sama Sama peliaraan boneka inggris AS Dan sekutunya,, waspada rakyat Indonesia rapatkan barisan Jaga daerah masing masing pasang badan untuk menjaga kedaulatan NKRI Dari sabang sampai merauke jangan sampai kecolongan walau satu inci pun,,ini bukan isu kemanusiaan lagi justeru PBB melalui UNHCR menjajah kedaulatan NKRI menjajah kemanusian Dan HAM rakyat Indonesia 😢tutup UNHCR yang ada di indonesia,,dan KNIL ireng terus Di proses hukum Yang Ada mukum mati untuk para pengkhianat bangsa hmmm 😡",2024-01-11T14:41:00Z
@rois5917,Tolak dan Usir pendatang gelap /rohingnya.<br>Bubarkan UNHCR Cabang Aceh mereka dan sindikat telah bekerja sama untuk mendatangkan pendatang gelap / rohingnya di Aceh.,2024-01-11T13:23:34Z
@aritopancikaret1403,Usir secepat nya sebelum beranak pinang,2024-01-11T12:32:48Z
@newhop484,"Bantu sementara dlm waktu singkat dan segera kembalikan mereka ketempat penampungan asal sesuai kartu yg mereka bw bias UNHCR seluruh dunia pikirkan bgmn membuat mereka layak hidup sebagai manusia disana jgn kabur2 lagi malah membafa masalah br untuk orang lain, Indonesia sdh cukup dgn kesulitan kesusahannya sendiri jgn menambah BEBAN jd beban",2024-01-11T12:29:06Z
@nida-kh7sg,lihat tali dtangan mereka itu nonmslm,2024-01-11T06:51:26Z
@parianto7467,Posing dengan pemerintah pusat sendiri.,2024-01-10T17:28:48Z
@rizkykw7348,"Bangke sdh diberi peringatan msih ngotot mau ke indo, Bantai aja klo gak mau dipulangkan",2024-01-10T14:29:13Z
@KeakeanCocote,buang.kembalikan...pengkhianat..sekutu,2024-01-10T12:23:56Z
@LindaWati-ym8jh,"Gemes hatiku mendengar nama Rohingya,karamkan kapalnya selesai 🔥😡",2024-01-10T07:29:01Z
@sayasendirisaja1595,Pecah Kan Kapal nya klau Tdk Mau Putar Balik pulang Usir Usir .... MEREKA klau Tdk Mau kita Cilaka,2024-01-10T07:19:30Z
@ilenlouwlouwilen8378,Di tolak 100%dari negara indonesia,2024-01-10T01:26:21Z
@danufadila4379,Usir beban beban itu ajg,2024-01-09T21:07:38Z
@romirochman5652,Usiiiiiirr semua rohingya bikin gerah pribumi indonesia,2024-01-09T20:15:28Z
@belemsampeu8339,Usir saja..kami dari suku sunda siap bantu untuk mengusirnya..karena aceh serambi mekah dan lahirnya pahlawan2 Naaional,2024-01-09T14:28:47Z
@kruntelbae3618,"Tenggelamkan,,,,",2024-01-09T13:36:31Z
@meirovita3604,"DI TEMBAK RUDAL BASOKA AJALAH BIAR GA MENDARAT DI NKRI,TNI ALNYA MANA SIH KO GA ADA TINDAKAN HALOO KEMENHAM LO KO DIEM BAE.",2024-01-09T09:57:49Z
@MamiwandaWanda,Usir mereka,2024-01-09T09:54:57Z
@ruronibatosai7511,berengsek,2024-01-09T09:31:33Z
@sugijononadda2199,usir aja,2024-01-09T05:57:50Z
@KanSewot,Perlhtkn parang pnjang pasti kabur dn mnjauh tu😅,2024-01-09T03:02:18Z
@ismiastutik463,kalo TDK dilarang mrk ngasih kabar yg lain bhw di lndonesia aman. Dan akan byk lagi yg dtg,2024-01-09T01:55:13Z
@marzuliboncos8150,Jangan kasih turun lasung balikin kelaut hitam,2024-01-09T00:28:58Z
@Mr.tapenk,"Kalo mau dia keluar dari Indonesia,tidak usah di beri makan.😅",2024-01-08T17:17:32Z
@nurinovi5974,"Cara masuknya saja sudah aneh..<br>Tolak terus,.",2024-01-08T15:39:18Z
@danihamdan0266,SARAN.!! SIAPKAN BOM MOLOTOP,2024-01-08T14:32:37Z
@iwanrozali49,Negara paling mudah diserbu... Penaklukan tanpa peperangan,2024-01-08T13:39:57Z
@natanaelraymond2152,Usir warga prindavan dari Indonesia!!,2024-01-08T12:27:50Z
@mommyandra6183,Adoohhhhhhhh 😤😤😤😤😤 makin bnyk bah yg masuk indo mereka,2024-01-08T11:56:06Z
@dwiekaningsih1377,Itu nanti mereka nambah terus .natr terus banyak tingkah mereka minta ini itu lihatlah,2024-01-08T10:21:30Z
@srimaryati4152,Buat apa punya Al dan AD ..rakyat sendiri sj berani .gmn sih sebenarnya.,2024-01-08T09:46:20Z
@bupurwati5818,"Negara kita sudah ..mulai ..dilecehkan ..negara lain ..,mana ..TNI  AL .?? PENJAGA  KEDAULATAN ...",2024-01-08T09:18:07Z
@bptopo7466,kenapa masyarakat indonesia mudah manget di kupluki pendatang gelap rohingya banglades hanya bekal modal menyamar pengemis serta kapal kayu kapuk utk melabui....,2024-01-08T08:50:22Z
@salmanfaris4654,Pertahanan laut kita lemah.....mana menhan dan konco2nya koq diem....???.,2024-01-08T08:39:41Z
@Anasmarbon89,"rohinia kebanyak munafik ,pura2 berbelas kasih padahal iman dan tawanya rusak ,jgn disamin dgn palestina karena palestina sudah membatu mengakui kemerdekaan Indonesia waktu itu ,jdi kita dan rakyat Indonesia,akan balas Budi bantu Palestina Aminn",2024-01-08T08:35:01Z
@Anasmarbon89,"rohinia kebanyak munafik ,pura2 berbelas kasih padahal iman dan tawanya rusak ,jgn disamin dgn palestina karena palestina sudah membatu mengakui kemerdekaan Indonesia waktu itu ,jdi kita dan rakyat Indonesia,akan balas Budi bantu Palestina Aminn",2024-01-08T08:34:45Z
@nanisutarni2890,Imigran rohingya Sekutu Inggris,2024-01-08T08:22:48Z
@arhamteapon8799,usir,2024-01-08T06:42:24Z
@nurintan8899,😮,2024-01-08T04:48:28Z
@nurintan8899,Usir pulang ke negaranya,2024-01-08T04:47:13Z
@achmadnizar249,Pulang kan mereka ke camp pengungsian di Bangladesh yg sdh di sediakan PBB,2024-01-08T03:54:03Z
@basbaronaadi3482,"Mana ketegasan dari pemerintah Aceh Untuk mengatasi para Rohingya,sebelom terlambat sekaranglah saatnya pulangkan mereka ke negara asalnya,",2024-01-08T00:05:07Z
@yuliyahmills3537,Jangan dikasih makan.orang tidak baik dan.bajinfan dan pembohong.,2024-01-07T22:20:11Z
@isasakti6774,Usir,2024-01-07T22:13:26Z
@khaidirsigliaceh3875,Pulang aja bikin rakyat Aceh rusuh sama rakyat,2024-01-07T17:41:17Z
@bunjaminsurataruna7133,"JANGAN BIARKAN MEREKA NENJEJAKKAN KAKI NYA DI PANTAI, USIR MEREKA KETENGAH LAUT, FUNAKAN SEGALA CARA",2024-01-07T17:38:37Z
@WardanaEfendi,Usir mereka dari tanah kita agar kedepan tidak menjajah tanah kita,2024-01-07T17:28:08Z
@UmuAthiyah,Sudah di ajarin dong sm bosnya...😂,2024-01-07T17:00:15Z
@whongthalun,Saya heran angkatan laut kok nggak ada,2024-01-07T14:11:50Z
@dilbadboy2449,sesama muslim bersaudara... lindungilah mereka... jika tdk allah akan mendatangkan sunami besar lagi ke aceh... Australia adalah negeri org kafir... tp mereka mengizinkan pengungsi ntk tinggal dinegeri mereka... mana rasa cintamu pd rasulullah...  pengungsi itu mematikan lampu kapal krn mereka takut kedatangan mereka tdk dianggap malah diusir  oleh  saudara seiman mereka... allahuakbar... lindungilah mereka ya allah...  jika mereka tak diizinkan tinggal diaceh... buatlah keputusan mu...  tenggelam kan aceh dgn lautanmu kembali krn mereka menentang sunnah rasulmu yg mulia... amiin...,2024-01-07T10:37:23Z
@DenBarhiya,Usiiir...tolak nanti bikin masalah ke depannya..dia bukan pengusi tapi ingin tinggal di Indonesia....,2024-01-07T10:01:00Z
@ragil-b6k,😂😂😂😂😂<br> senyum senyum ajalah..<br>Cuan...cuan <br>yang penting sampai di darat mau di bunuh atau apalah oleh warga..gk da urusan..😂😂😂,2024-01-07T09:50:45Z
@Mardiin-pw8kd,Mana petugas minta kepada pemerintah stempat supaya ada polisi air untuk menjaga NKRI. .,2024-01-07T07:58:58Z
@totokjunianto2300,"BODOH NYA PEJABAT YG BERWENANG DI INDONESIA ,BANGLADES SAJA BISA NGUSIR ,ITU KAN KETURUNAN NYA.AYO USIR JANGAN TAKUT SAMA PBB ,KITA MAU DI RUSAK LEWAT UNHCR. NANTI KLU ACEH MINTA MERDEKA SENDIRI PUSAT BARU TURUN TANGAN. AYO CONTOH MYANMAR DAN BANGLADES .JANGAN KASI TENDA.",2024-01-07T07:02:57Z
@Munah27Dly,Angkat Laut kemana ya??<br><br>Bukannya Angkat Laut bertugas menjaga Laut ??,2024-01-07T06:59:43Z
@lettycen3491,"Usir , ,, pulangkan paksa ,,,,jgn lega",2024-01-07T05:30:57Z
@ridho4282,"kita hrs jaga kedaulatan,jgn biarkan mrk terus datang ,ayo lindunginegara kita",2024-01-07T05:08:11Z
@TABLOchanel.c7,Katakan tidak kpada rohingnya ini politik global ini bukan pengungsi tapi penjajah ini cara global menjajah indonesia.. knapa dunia tidak mendesak myanmar untuk menerima kmbali.. ini politik kotor global,2024-01-07T04:13:56Z
@udinhaerudin659,PULANGKAN SEBELUM MASALAH DATANG,2024-01-07T03:36:40Z
@saharuddinudin4735,Usir semua dn jngan biarkan mereka tinggal d Indonesia mereka itu munafik dn pemalas maux mkan enak dn tdk mau kerja  dn Klo suda lama d Indonesia rongingya akan bikin ula d Indonesia jdi ada baikx usir semuax kembali k asalx,2024-01-06T15:38:59Z
@zhirafazhira7100,Lampu di matikan. Kapan di bikin bocor,2024-01-06T14:53:50Z
@IchlasulAmal-m7c,"sdh byk x WNA di ngri ini sdh padat pnduduk  sumatra ,  aceh  ini",2024-01-06T14:48:51Z
@IchlasulAmal-m7c,dmi ke sjhtraan dan agr tdk padat pnduduk Ri,2024-01-06T14:48:13Z
@aldipluto,klo gitu mereka udah merencanakan dan tahu datang kr Indonesia bisa di tolak tapi masalahnya dimana dia bisa tau kalo mereka bisa di tolak mengingat jarang pengungsinyang bawa alat komunikasi amtar kapal pengungsi itu,2024-01-06T13:44:24Z
@Niningyuningsih-o7i,Ada dalangnya yg menyetir,2024-01-06T12:24:10Z
@mashudimashudi4674,Mestinya jangan kasih mendarat,2024-01-06T11:14:13Z
@Tamberang,Usirrrr,2024-01-06T10:39:00Z
@TeingSahanya,Aneh emang tida ada patroli itu bukan satu orang itu ratus ribu2  ko gitu ya  itu alasan apa mau pindah kekita  alasan ya kacau di negaranya  palastina juga riweh kacau g kemana mana itu orang kepcundang mau aman ya dn enak ya g mau berjowang,2024-01-06T09:12:27Z
@HestyJumita01,Wajah wajah seram mulai mendarat. Awas hati2 jgn sampe mereka mendarat,2024-01-06T08:20:17Z
@muhammadrusidi4385,"Usir segera rohingya dari Indonesia, termasuk yg ada di rusun Sidoarjo !!!",2024-01-06T08:11:22Z
@ausape3799,tolak tolak tolaaakk rohingya,2024-01-06T07:38:54Z
@TMYchanel1907,"Dengan cara apapun tolak dan Usir orang2 rohingya licik itu dari bumi NKRI....masyarakat harus kompak dengan mahasiswa....kalo tetep ngotot semua terserah masyakarat Aceh jangan karena pingin dipuji demi kemanusiaan terus jadi lemah. Orang2 rohingya itu sekumpulan imigran gelap yang pengecut dan pemalas pingin hidup enak di NKRI , dianggap tamu , diberi tempat penampungan,diberi makan 3x dan diberi uang secara gratis sedangkan rakyat Indonesia yang masih miskin tidak diperhatikan.",2024-01-06T06:10:29Z
@tiniastuti3431,UNHCR  di Indonesia  harus tanggung jawab. Tolak  rohinya.,2024-01-06T05:40:11Z
@tiniastuti3431,Tolak rohinya di Indonesia..,2024-01-06T05:38:49Z
@suratimisman2873,Pemerintah dan TNI pada sibuk sehingga kecolongan Oleh kaum Rohingya,2024-01-06T03:07:21Z
@sandrasandra6965,Usir dari tanah air Indonesia,2024-01-06T03:01:49Z
@sandrasandra6965,Pulang kan paksa orang rohiniya  ke tempat asal nya,2024-01-06T03:01:31Z
@rajahutan_14,"jgn sampai mereka jejak darat,mereka akan hilang seperti pelesit..sebab orang² mereka sudah siap sedia di darat,hati²",2024-01-06T01:56:09Z
@sabarsubur7276,Sudah tau rohingya licik kenapa di terima terus,2024-01-05T23:27:48Z
@GabriellaAlmahira,perairan aceh harus ditaruh kapal perang...!!!,2024-01-05T15:53:39Z
@Mulyono-07,Cara amerika mau kayak israel part 2,2024-01-05T15:27:19Z
@srikurniasih2220,Ini kerjaan zionisme dibalik ini bongkar pemerintah pusat diam sj dn perhanan diam sj periksa kepemimpinan Indonesia  membiarkan mrk datang ke Indonesia tamu tak diundang HR HT mirip Israel,2024-01-05T14:48:47Z
@eryanibungo7154,Bikin muak melihat nya...,2024-01-05T14:42:15Z
@devaniaqira,Usirrrt,2024-01-05T14:25:41Z
@Kuswara-pg7qd,Angkatan Laut kemana saja ko bisa lolos tidak terdeteksi,2024-01-05T12:20:19Z
@nonikpangayu5471,Jangan di terima warga rohingya. Jika mereka diberi ijin tinggal di wilayah indonesia kedepanya akan timbul masalah. Mereka licik juga malas. Nantinyamereka akan menguasai. Seperti israel,2024-01-05T12:07:12Z
@SriWindarti-j2h,Usir secepatya imigran gelap nanti bikin resah lama&quot;,2024-01-05T12:04:19Z
@OomKomariah-i8r,Inilah penjahat2 dan penjajah2 kedaulatan dan kemanusiaan yg trs memaksakan khndk..<br>Dasar tak tau malu...pantesan hdp  mrk sll terhinakan dan sll ssh..krn maunya cm nyusahin org byk....pdhl kami g ikhlas...<br>Tiada berkah sdktpun bg mrk..<br>Dasar liciik..<br>!!!,2024-01-05T11:48:46Z
@OomKomariah-i8r,"Mn org2 pendukung Rohingya yg mmbela mati2an sampe tega menghujat,memfitnah,dan menyumpahi warga Indonesia khssnya warga  Aceh hy kr menolak etnis Rohingya yg jls2  mrk adalah penjahat licik yg trs memaksa negara org agar  nrima mrk...sadar woooiii...tuh liaat kelakuan jht &amp; licik mrk ..!!! ..<br>Apa pantas mrk di  sbt Muslim sejati?<br>Mk dr itu tlg kalian jgn sekali2 lg mengatas namakan &amp; memperjual belikan agama Islam  demi hy tuk menarik simpati dan sesuap nasi...krn hal tsb dilarang keras dlm ajaran Islam dan mrpkn tindakan yg hina dina dan bs mencoreng citra Islam..<br>!!!",2024-01-05T11:38:58Z
@lamiah3403,Pulangkan paksa bro,2024-01-05T10:45:43Z
@tyarfu4197,Nyan phah tapoh mate,2024-01-05T09:59:35Z
@erdist.khodijah5022,"Kok geregetan ya dengernya.. udah licik, suka bohong, jorok, rakus,dan gak tau terimakasih/ gak bersyukur,..🤦🙇<br>Na&#39;udzubillaah,..",2024-01-05T09:18:38Z
@saifunnursaifunnur9519,Harus usir Rohingya di Aceh jangan sampai mendarat,2024-01-05T07:40:21Z
@widyalestari5583,Petingi2 kita kemana ya..kok sampe seperti ini betapa mudahnya negri ini di buat permainan seperti ini..,2024-01-05T06:50:40Z
@jabalan9986,Kemana patroli TNI kelautan,2024-01-05T04:50:58Z
@jeovenediktus3131,Baru datang saja sdh  liciik ....apa lagi nanti mau ngrapok orang aceh itu ....plng kan paksa saja ...😊😊,2024-01-05T04:16:34Z
@SitiNurjanah-oy3iz,"Usir jangan sampai menginjakkan kaki mereka di bumi Pertiwi Indonesia yang kita cintai, mereka bukan siapa 2 nya Kita negara Indonesia",2024-01-04T22:30:39Z
@sangsangsyahsakti1589,usir pakksa dgn halus  krna sdh bikin resah warga.,2024-01-04T15:53:53Z
@udiobasuki2569,"YAH ITU BUKAN LICIK LAH MIN, ITU SALAJ SATU CARA TRIK, KLO DINYALAIM LAMPUNYA DITOLAK DONG, YAH NAMANYA JUGA MAU MENDARAT BIAR GK DITOLAK YAH GITU DONG CARANYA, 😂😂😂😂",2024-01-04T12:50:01Z
@KusRini-m9g,Usir dri indonesia,2024-01-04T12:37:53Z
@VivoY-hg8hv,Usir ja,2024-01-04T12:37:02Z
@luhadihadi6527,"Jangan sampai turun dari kapal..<br>harus di usir dari indonesia, karena itu penjajah",2024-01-04T11:07:12Z
@anumsubali3106,usir secara paksa. bila perlu dgn kekerasan.,2024-01-04T09:36:03Z
@SukaryaKarya-i4x,Usir penjajah baru rohingnya dri NKRI jangan kasih tempat,2024-01-04T06:48:24Z
@widodopare4817,Indonesia tidak termasuk  menandatangani konvensi pengungsi tahun 1951.artinya indonesia  tidak wajip menampung rohingya.tolak rohingya masuk aceh.tolak imigran gelap,2024-01-04T06:35:26Z
@iwansetiawan-wk4dr,buka mata,2024-01-04T05:29:32Z
@AnggiWiyah,INDONESIA BERSATU...KELUARKAN ROHING NYA DARI INDONESIA SECEPAT NYA..MEREKA MEMPERDAGANGKAN MANUSIA...MEREKA LICIK SBLM TERLAMBAT KEMBALIKAN SAJA..ACEH MESTI BERSATU JGN SMPAI TERLAMBAT...,2024-01-04T03:58:15Z
@panur5835,Awas penjajahan model baru dibelakang negara negara ...oknum  memecah belah negara Indonesia,2024-01-03T23:47:34Z
@FerdoNando-ns5qd,"Aceh anak muda nya dan nelayan jadi bajak Laut saja lagi, spaya Negara tau diri.. Nkri adalah tanah tumpah Darah. Republik Indonesia bukan Pesuruh Unhcr.supaya Aceh dpat jatahh.. Dan kapal2 yg nyelonong licik",2024-01-03T23:02:42Z
@FerdoNando-ns5qd,Tolak dan larang terus Aceh sangat ditakuti.. Dgn istilah daerah Tanah Rencong.. Sdh mendunia disegani dan ditakuti. Pembela NKRI yg tangguh..,2024-01-03T22:46:52Z
@anaksasadasitumeang5261,Usir saja,2024-01-03T19:43:50Z
@kuskincekince6475,unhcr itu biang kerok.itu politik yahudi yg akan melemahksn nkri. dengan cars mnyusupkan rohangia dngan mmnawa pnyakit supaya negri kita ini kacau.  karna dengsn pisik tida mungkin bisa mengalahkan nkri.dngan cara livik lah supaya di adu domba,2024-01-03T16:38:42Z
@fannygaming1569,Jangan bagi masuk... halau mereka keluar..,2024-01-03T16:18:30Z
@adrirahman9871,tolak dan usir rohingya,2024-01-03T15:57:39Z
@hartoyoerni9610,Itu sama dengan maling masuk rumah orang tanpa permisi,2024-01-03T15:07:04Z
@shamsulblack2591,Tarik aja kapal nya ke ibu kota jarkarta...,2024-01-03T15:06:36Z
@sihardyo1872,Usir lah wak muak aku dengarnya,2024-01-03T14:06:58Z
@Asybye907,"Usir saja cuma bikin masalah di Indonesia, nanti bisa jadi kaya IsraHell, menjajah negara yang menolong",2024-01-03T13:47:34Z
