Author,Comment,Published At
@anjarsarisari5489,Harus segera diusir... Bila perlu UNHCR bubarkan sekalian,2024-03-06T06:39:28Z
@gavriellgaming8790,Awal d jajah bangsa lain . Kalau masih d tmpung manusia itu. It cara licik mereka. Usir mereka kalau tidak bakalan trjadi penjajahan,2024-02-24T13:51:52Z
@kartikachaliktika4375,Jangat di kasi mendarat..ambil senjata..tembaki..pasti mereka balik ke Negaranya,2024-02-22T08:47:42Z
@LilyMiau-c5q,Ya Allah..berikanlah rahmat karuniaMu utk para pengungsi🤲,2024-02-22T00:15:46Z
@SugiantoSugianto-j3l,Masuknya aja dngn cara licik..cara itu yg di   intruksikn dari UNHCR..,2024-02-21T11:21:23Z
@agungfiatno9424,Kalau sudah turun langsung disuruh naik lagi kekapal.usir indonesia bukan tempatnya pemerintah daerah jangan lemah.,2024-02-20T14:47:05Z
@susimarniSusi,"Mereka memang licik , Di madinah Saja Di tolak..",2024-02-14T11:28:38Z
@LUFFYCV,"Tolong dong aceh daerah yg dekat dgn daerah aceh taruh lg tuh ronghya diperahu, pulangkan lg",2024-02-11T15:01:24Z
@TatangSuhari-uw3dh,"Lebih Licik lagi ,aparat pertahanan yg membiar kan Rohingnya masuk indonesia",2024-02-11T00:10:14Z
@mulyonoyono8152,Ayo cpt usir penyusup2 yg akan bikin ruwet di negri kita ini mksh.,2024-02-10T01:23:05Z
@maxhermanschulz1255,Sama liciknya dengan Imigran Yahudi Yaman yg ikut kapal kompeni Belanda jaman dulu 👿👿👿,2024-02-09T12:03:08Z
@FaisalGustian,Saya khawatir indonesia ini di kuwasai oleh orang rohingya jangan sampai ya,2024-02-09T06:10:29Z
@umiruchyati9091,Imigran gelap yg licik ini hrs diwaspadai. Jangan sampai mrk jd penjajah dinegeri ini. Wajib ditolak dan diusir paksa. <br>Biarkan mrk berlayar kembali kenegara asal mrk. Perlawanan hrs terus digerakkan demi tnh timpah darah.  Selamatkan NKRI.,2024-02-09T03:16:54Z
