Author,Comment,Published At
@SumariyahSorong-gx2dx,Negaramana. Yg mau menerima. Bawa anak. Makukerja apa,2024-09-12T07:26:36Z
@SEDULURAN_ACAK_KADUT,Usir manusia manusia ini naikin ke kapal tarik ketengah laut,2024-08-26T18:15:28Z
@romisatriochanel7083,Sapu bersih orang orang gak jelas itu dari tanah aceh,2024-08-26T03:36:14Z
@ArangLookerbar,Biasala kelakuan pelarian golongan bawahan mana mungkin punyai kelakuan kayak pak presiden.. Jika sikap seperyi pak presiden pun rakyat indon ramai yg  tak mahu mencontohi inikan pula pelarian yg hidipnya tiada konkongan undang2 dinegatanya membesar.. Mana mungkin kita impikan mereka beradap sopan dan santun..,2024-08-22T04:26:12Z
@dessynangin1322,"Sebenarnya TDK boleh bersepeda motor Krn mereka TDK ada KTPnya apa dasar memiliki sektor,apa petugas i.igrasi yg dilapangan ada menerima setoran dari pengungsi tsb... Sungguh aneh dan biadap.",2024-08-11T11:27:39Z
@dessynangin1322,"Di Medan sdh ada yg bawa gojek,mungkinmereka SDH lama di medan dibelinya Aplikasi,jadi aparat polisi apabila melihat yg saya sampaikan agar ditindak tegas sebelum ada korban manusia.",2024-08-11T11:24:10Z
@MardiUtomo-sl8kq,Membantu dan menolong sesama muslim itu wajib hukum nya ...,2024-07-13T12:35:30Z
@mbkrikstore489,Tapi mereka itu islam kan ya ga heranlah 😁😁😁,2024-07-12T13:01:18Z
@MarAna-ud2qr,"Penjorok,pemalas, kerjanya buat anak dasar benalu😒",2024-06-29T04:40:34Z
@aminahsumadi6375,"Ngapain pusing tujuan mereka malaysia ustralia,,,tetap aja mereka ditahan",2024-06-10T17:40:50Z
@AlHabab-y5v,"Kita juga warga TIDAK TAHU <br>APAKAH pemerintah pusat berwenang itu berharga , ABAL ABAL , KARENA orang DIPUSAT INI<br>KURANG MENANGGAPI KERESAHAN ,MASYARAKAT , PENDERITAAN RAKYAT<br>JAMAN NYA REZIM jokowi ,ZAMAN <br>PENGECUT ,ZAMAN KEBOHONGAN <br>DAN KEDUSTAAN ,",2024-06-09T19:01:51Z
@sinarpagi8270,Pulangkan saja ke laut,2024-06-08T11:02:39Z
@sugengandrianto2578,Memang orang orang UNHCR INDONESIA ORANG ORANG PKI MEMASUKAN PENJAJA USERRR SEMUA MANUSIA MANUSIA ROH ROH BEDES DARI INDONESIA KALAU PEMERINTA TINDAK BISA MENGAMBEL TINDAKAN TEGAS UNTUK MENDEPORTASI ROH ROH BEDES KELUAR DARI INDONESIA MAKA RAKYAT YANG AKAN MENGAMBIL TINDAKAN TEGAS AKAN DI USERR DENGAN PAKSA ROH ROH BEDES KARNA KEKUASAAN DI TANGAN RAKYAT BUKAN KEKUASAAN DITANGAN PEMERINTA  ATAU UNHCR USERRR SEMUA ROH ROH BEDES ROHINGYA DARI INDONESIA,2024-06-07T05:32:11Z
