Author,Comment,Published At
@lintagukagalon,"kasus rohingya dan yahudi tidak sama, yahudi kembali ke tanah leluhur mereka sementara rohingya mengungsi ke negara yg bukan tanah leluhur mereka kerana tanah leluhur rohingya ada yemen",2024-02-27T04:27:11Z
@poor_tube_drryoth,Tak tahu lah mereka ni,2024-02-26T21:43:44Z
@merpatiputih7588,Kasus Yahudi lain jangan samakan dengan Rohinghya.,2024-02-26T17:34:45Z
@PuriDosh74,Ya allah jgn sperti itulah sesama muslim... Saudara.,2024-02-26T14:52:38Z
@piconcon944,Jangan mengucapkan SAKSI DUSTA. 😂😂😂😂,2024-02-26T12:33:39Z
@sriwarniti8268,Ya buatan inggris,2024-02-26T08:43:57Z
@SomeDay-r6t,Wajib waspada dg mereka ..si rohing,2024-02-25T16:41:07Z
@saptohadi4882,Usirrrrrrr,2024-02-25T12:47:24Z
@SugiantoSugianto-j3l,Propaganda ala barat dan sekutu. Krna indonesia selalu bantu palestina..ini bls dendam,2024-02-25T10:35:05Z
@ArdelAnisa,Tu betul.makanya Rohingnya harus diusir dari NKRI gmn pun caranya. secepatnya,2024-02-25T06:24:59Z
@suradisukoor7428,"Sebelah hospital banyak sapa yg masuk kan tu MISTI perdanggkan manusia, duduk percuma kerja malas kami org Malaysia pun kerja",2024-02-25T04:33:36Z
@janariusyuss5022,Adakah Malaysia atau Indonesia tanah yang dijanjikan tuhan untuk bangsa Rohingya..seperti tanah filistin yang di janjikan kepada bangsa Israel oleh tuhan penguasa alam semesta..iblis hanya berhenti berdusta bila tempo penundaan kematiannya berakhir di hari kiamat demikian lah umat Islam hanya akan berhenti mendustai fakta dan data Alkitab pada hari kiamat.nanti🤨🤨🤨,2024-02-24T23:22:54Z
@MasF25,Se7 penjelasan ini sangat masuk akal dan jelas mari semua negara² islam saling menjaga jika ada yang ining memecah belah agama islam❤,2024-02-24T22:49:15Z
@loppy7737,Ini ttuh sebenarnya ulah Amerika😅,2024-02-24T19:36:39Z
@LucianEdmund,Betul INGAT,2024-02-24T15:42:24Z
@dakwa-chanel,Yok doain palestina yok ❤️❤️❤️❤️❤️❤️🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸❤️💪💪💪💪💪💪💪💪,2024-02-24T14:01:38Z
@dakwa-chanel,Yok sholawat nabi Muhammad Saw yok ❤❤❤❤❤❤❤,2024-02-24T14:00:35Z
@dakwa-chanel,Free palestina ❤❤❤❤❤❤❤❤🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸💪💪💪💪💪💪,2024-02-24T14:00:27Z
@aguswarsito3111,"Dulu Rohingya di elu elu kan krna mrka muslim ,sekarang kok malah di benci ,dulu pada ngutuk Myanmar hahahaha dagelan ,...sy tetap mengasihi Rohingya ..",2024-02-24T12:18:38Z
@AriSumbodo-p5z,"Rohingya itu buatan kapitalis-zionist Barat, seperti ISIS buatan As,Inggris &amp;  Israel Zionist..! Hati-hati propaganda Barat..!",2024-02-24T04:09:47Z
@RajenKhan-xz9kl,Islam sll difitnah dan gampang di adudomba.,2024-02-23T19:44:08Z
@RajenKhan-xz9kl,Tak salah lg.bahwa islam seperti buih dilautan tak tak berguna.smoga allah melindungi umat nya..,2024-02-23T19:42:55Z
@linggaagus76,Konten sesat tidak paham sejarah termakan doktrin  iblis.,2024-02-23T18:17:08Z
@ayugembrot5039,pemerintah.harus.tegas.user.orang2.rohggnya.dari.indonesia.pemerintah.janggan.tidur.rakyat.sendiri.masih.banyak.yang.menderita,2024-02-23T14:27:59Z
@putihsalju-ln6de,Rohingya akan mendirikan negara di Indonesia dibantu UNHCR,2024-02-23T11:59:37Z
@agussusantoyo3536,jgn di kasih hati ayo... aceh bersatu usir,2024-02-23T10:14:16Z
@yudaibetta8256,Share²,2024-02-22T23:28:31Z
@neneatip,<b>USIR</b> ROHINGNYA DARI WILAYAH <b>NKRI</b>,2024-02-22T15:38:59Z
@Ariani530,saya setuju halau saja dari Malaysia sama saja dengan Israel,2024-02-22T09:02:30Z
@amiyuki,Yakjuj Makjuj is every where 😂,2024-02-22T04:32:53Z
@Pispul,Rohingya itu suku bani israel yang ilang😂,2024-02-22T01:35:49Z
@noryatiismail2424,Bg hanyut balik kelaut...,2024-02-21T13:26:42Z
@nikdeen8592,jawapan dia hapus terus,2024-02-21T08:57:12Z
@andretakdirfirmansyah8207,Benar Sekali<br>👍👍👍👍👍👍👍👍👍,2024-02-21T01:15:25Z
@ivonhiero1676,Jadi skrg Rohingya bukan Islam.😂😂😂 Lalu disamakan dgn Yahudi yg katanya minta tanah. Yahudi dapat tanah dr PBB dan tidak gratis tapi memberikan bantuan ke Inggris😅 Padahal dulu mrk datang ke tanah jajahan Inggris yaitu Palestina atas izin otoritas Inggris.,2024-02-21T01:14:19Z
@mamanyusuf9020,Usir  ajaronghinya kalau mau jadi pengacau di Indonesia.dan mau merebut tanah Indonesia.,2024-02-20T19:42:36Z
@dhansc8241,"Klo bisa jangan di usir,.lebih baik jika organ tubuh  mereka masih bisa dimanfaatkan yaudah sikat aja organnya ,buang mayatnya kelaut,klo di usir bakal nyusahin negara lain takutnya",2024-02-20T13:19:14Z
@bukhorisadega414,Setuju seratus persen dgn analisanya,2024-02-20T11:37:44Z
@todunghasibuanhasibuan8563,Jgn Terima rohingya d Indonesia..,2024-02-20T01:40:13Z
@myudopriambodo6148,Berbalut islam tapi fitnah sana sini ketika kalah 😂😂,2024-02-19T10:56:17Z
@harusSadar-g8i,Rohingya kaum yajuj makhuj,2024-02-19T06:21:38Z
@sakiberi-t5x,Benar sekali,2024-02-18T14:33:29Z
@anak_perantau,Betul sokong 💯%,2024-02-17T23:45:51Z
@MalayBestCute,Saya tak tahu tentang hal tu????,2024-02-17T14:01:14Z
@arywiguna5085,SESUAI DENGAN PEMIKIRAN SAYA...SAYA SETUJU.HARUS DI KELUARKAN DARI INDONESIA.,2024-02-17T12:29:08Z
@dra-f9q,Semoga menjadi pengalaman dari yg dialami palestina sebelum terjadi maka harus segera usir langsung jangan biarkan rohingia berada di negara Indonesia,2024-02-16T23:36:23Z
@ahmadtaufiq4529,Itu benar sekali. Mereka itu gelandangan seperti Israel. Sok yahudi padahal ateis begitu juga Rohingya mereka non muslim biasa jadi tak beragama,2024-02-16T12:32:28Z
@abdul.kejuk8,"Betul, mirip cara Yahudi di Palestina dulu.<br>Harus tegas, diusir, mereka bukan Islam sesungguhnya.<br>Kaum munafik yg disetting pihak lain.",2024-02-15T11:56:59Z
@MochingsaFurPaws,Alasan rohingya tidak mempunyai sifat orang islam :<br>Kemungkinan mereka tidak mempunyai ilmu islami.,2024-02-15T11:22:09Z
@teseractteseract7797,"Sekarang belum begitu terlihat dampaknya di Indonesia, tapi nanti akan terlihat ketika semua sudah terlambat..",2024-02-15T11:20:35Z
@Gerrytaraan,Ya Mereka Munafik,2024-02-15T08:22:35Z
@ArumIkahyani,"Gk ada kamusnya seorang muslim sejati mempunyai sifat serakah,rakus n TDK bersyukur 😡",2024-02-15T00:36:04Z
@KusRini-v5o,Usir aja itu adalah sprti israel,2024-02-15T00:34:31Z
@trendingvideoxd7182,Bangsa yang tidak tahu bersyukur..,2024-02-14T23:34:58Z
@agilyoga9319,Pemertinyah nya sih yg goblok maen iya2 aja nolongin,2024-02-14T23:04:13Z
@ahmadfarizfaza2592,Hati2 Invasi AS gaya baru untuk memecah Umat Islam dengan cara menyamar sebagai Islam....,2024-02-14T18:45:30Z
@ZulkilZulkil,Halau saja rohingya jngn di biarkan,2024-02-14T13:53:14Z
@ulgames868,😂😂😂 itu bnar,2024-02-14T13:36:24Z
@afizi1213,Kita harus selesaikan hal teruk ni,2024-02-14T08:59:55Z
@haizulzul9020,Rakus ya rakus sangat rakus.,2024-02-14T05:04:08Z
@aqif2524,Kalau di Malaysia mereka selalu memaksa untuk minta duit kalau gak di beri mereka memukul orang yang gak beri duit,2024-02-14T04:41:44Z
@jakhairakan,Gak perlu menilai orang lain coba berkaca pada diri sendiri  tentang keislaman,2024-02-14T03:12:39Z
@macangunung8969,HALAU KELUAR ROHINGYA !!!!!!<br>SAY NO TO ROHINGYA...,2024-02-14T01:50:18Z
@almahdi117,Nauzubillah😢😢,2024-02-13T23:06:52Z
@umisumiyati3821,🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😂😂😂😂😂😂😂😢😢😢😢😢😢😢😢😢😢😮😮😮😮😮😮😅😅😅😅😅😅😅😅😅❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉,2024-02-13T05:32:24Z
@carbonbeetles,"Mereka pengungsi, di tolong.<br>Yang nolong bukan orang kaya juga, orang susah,<br>Eh malah memberontak.<br>Kan agak laen.",2024-02-13T05:04:16Z
@wahyukadeo-z3z,Itu memang benar,2024-02-13T02:50:12Z
@fathurftr4076,"Baik boleh, tapi jgn berlebihan, kalo warga rohingya udah klunjak, pulangin aj itu semua warga rohingya",2024-02-13T01:29:33Z
@intanmaharini2231,Usir segera sebelum menumpuk disini 😡😡,2024-02-13T01:27:18Z
@amyalong6399,keturunan yg x patut di tolong,2024-02-13T01:11:11Z
@cutar6498,Ngg ush keluar negeri mas lihat dulu saja negara kita,2024-02-12T11:59:06Z
@ICEAiseliasGamingChannel,"Ngomong ngomong soal Rohingya yg rakus, tadi habis denger pembahasan soal Yajuj Majuj, <br>Kaum yg sama sama rakus dan merusak.",2024-02-12T00:37:31Z
@cipa6105,Harus di kembalikan ke negara mereka sendiri seperti nya mereka hanya ingin merebut negara yang mereka datangi,2024-02-11T11:17:48Z
@ahmd170,Sebelum api nya besar dan membakar negeri yg namanya Indonesia tolak Rohingya.,2024-02-11T05:17:29Z
@imnoezh6980,"Betul min, kejahatan yg paling membahayakan dan yang paling ampuh adalah kejahatan propaganda agama,membawa2 nama agama sedangkan yg membawa nama agama tidak sesuai dengan agama tersebut,pantas saja orang2 munafik masuk neraka paling dalam",2024-02-11T04:49:46Z
@rahmanmaulana3801,Untung aja Rohingya gak punya pengalaman perang tuh!😂,2024-02-10T14:35:16Z
@bhatara500,"gk begitu mi., tetap kita harus saling membantu., mau agama mereka apa suku mereka apa., tetap kita sebagai sesama manusia harus saling menolong satu sama lain.. terima kasih 🙏",2024-02-10T11:33:21Z
@BGnugrah,Pantaslah orang Myanmar gk suka dg org rohingya ternyata selama ini mereka tau seperti ini kelakuan org rohingya yg sesungguhnya!😳<br>Oooooo! Jadi seperti itukah bukan!🤔,2024-02-10T02:26:37Z
@joykids205,usir,2024-02-10T00:57:14Z
@sugionosuwarso3789,Konon muasal mereka dari negara Banglades dan Pemerintah Banglades sendiri sudah membuka lebar menerima mereka kembali tapi entah apa dan bagaimana mereka tak juga kembali.,2024-02-10T00:28:03Z
@nero-jc6rj,kirim ke pulau komodo..jgn di kasie hati itu tanda2 yahudi versi baru,2024-02-09T22:02:33Z
@AR-bh3mn,Betul...... Mereka harus diusir Dan Dikembalikan ke Negara Asalnya! ✊ <br><br>🇮🇩🇲🇾✊✊✊✊,2024-02-09T21:38:25Z
@fauzalhalik4694,"betuuul,  rohingya akan merepotkan negara",2024-02-09T17:15:47Z
@Garuda_Indonesia681,Rohingya itu yakzuz makzuz kali bro,2024-02-09T16:11:43Z
@sajadahpanjang.9.11,Direbus dalam tinja yg mendidih saja biar kapokkk,2024-02-09T13:11:55Z
@omanoman-dc6zi,Betul 😂,2024-02-09T07:40:22Z
@WarungDanil,Hidup pilih anis Baswedan yg akan membuat kan Rusun untuk pengungsi Rohingya pilih anis Baswedan,2024-02-08T17:28:47Z
@Bintar-w2e,Ini yg harus kita waspada pemerintah bertidak lah usir pendatang haram,2024-02-08T15:02:55Z
@rheisandi99,Harus kembali kan ke tempat asalnya,2024-02-08T14:24:10Z
@wahyumanata9061,usiirrrrrrrr,2024-02-08T13:18:58Z
@artiksofiana8660,"Bs jg, agama dibuat alasan, mk itu usir sj roghya,",2024-02-08T13:14:12Z
@roosyana955,"Setuju, masih banyak yang tertipu karena label islam, mereka pikir mereka menolong saudaranya padahal rohingya bukan saudara, mereka musuh dalam selimut, tunggu saja nanti bagaimana perjalanan kehancuran yang mereka buat, Malaysia pelan2 sudah mulai kearah sana, apakah Indonesia mau menyusul? Silahkan saja",2024-02-08T12:21:41Z
@AlengAleng-g7i,Tergantung penguasanya ...mereka yg membuat keputusan...,2024-02-08T12:02:58Z
@ljfxa,Jgn Yakin dgn teori anda.Sebab belum pasti itu benar sebab tidak diceritakan dalam Al quran,2024-02-08T11:30:23Z
@semarmesem8159,"Hanya geng Petamburan Fpi , hti yg ngotot membela imigran gelap.",2024-02-08T09:04:58Z
@ebenezertambunan8638,"Islam bukanlah agama yg sungguh sungguh ingin menolong sesama bahkan sesama muslimpun tidak. Muslim mendukung Palestina hanya untuk bikin keributan, itupun dukungnya hanya kata kata bukan perbuatan baik, buktinya ternyata yg memberi makan rakyat Palestina selama 75 tahun terakhir kebanyakan adalah bangsa bangsa Kristen, bukan muslim.",2024-02-08T06:32:43Z
@taufikmulia,&quot;Jangan menfitnah&quot;........,2024-02-08T04:05:34Z
@dennyyanuar9882,Apakah Rohingnya nyontek cara Israel biar punya negara sendiri nantinya,2024-02-08T00:46:51Z
@arifabdi2609,"Sdh ada golongan sperti Rohingya di NKRI 🇮🇩, yaitu blalawi.  BERHATIHATILAH<br><br>♥️🤍",2024-02-07T23:58:21Z
@aziziekriting8241,Usir Rohingnya..Mentri pertahanan gimana itu tugasnya mntri pertahanan..,2024-02-07T23:08:27Z
@mueezalulu4789,"SAYA TRAUMA N GA MO LIAT BERITA TTG ROHINGYA INI..SAYA YG SANGAT MENOLAK KERAS ROHINGYA INI. YG MASIH KASIAN N MERASA MEREKA ROHINGYA SAUDARA KALIAN.. JGN KOAR2 DI MEDSOS AJA, TAMPUNG DONG DI RUMAH KALIAN..VIDEOKAN N INFOKAN BAGAIMANA AHLAK N IBADAH MEREKA…BAGUS APA NGGA? ATAU TERNYATA MEREKA MUSLIM MUNAFIK? JADI YG NOLAK AKAN BERUBAH PIKIRAN.. NAH KALO TERNYATA BILA JUMLAH MEREKA SDH JUTAAN N BNYK TERJADI TINDAK KRIMINAL…KALIAN YG BELA ROHINGYA JGN DIAM JUGA YA? MMG ADA SEBAGIAN ROHINGYA YG BAIK TP KAN BNYK JG YG BERTABIAT BURUK. BERKACALAH DR ISRAEL.. ORG2 YAHUDI SENDIRI YG BAIK2 GA BS BERBUAT APA2 MENBANTU PALESTINA. NAH BISA JADI SEBAGIAN ORG ROHINGYA YG  BURUK2 YANG MEMBERONTAK N BERTINDAK KRIMINIAL DI INDONESIA, APAKAH ORG ROHINGYA YG BAIK2 BISA BELA ORG INDO? MEREKA JG PASTI DIAM JG. SEBURUK2NYA TABIAT ORG ROHINGYA, PASTI LAH ROHINGYA YG BAIK2 BELA KAUMNYA ROHINGYA DARIPADA BELA INDO. NENEK MOYANGNYA AJA BEDA. DI RENUNGKAN DEH",2024-02-07T15:50:03Z
